id_usuario,activaToken,logIns, fecha_registro, dg_1, dg_2, dg_3, dg_4, dg_5, dg_6, dg_7,dg_8, fecha_resp_DG
43041,Activo,1,01/01/2024 01:13,2,2,16,1,0,1,3,3,01/01/2024 01:15
43044,Activo,1,01/01/2024 18:30,1,2,24,1,0,4,3,1,01/01/2024 18:32
43046,Activo,2,02/01/2024 05:32,1,2,24,4,1,2,3,2,02/01/2024 05:35
43048,Activo,1,02/01/2024 11:02,2,2,23,3,0,4,4,3,02/01/2024 11:04
43050,Activo,2,02/01/2024 13:32,1,1,37,4,0,4,4,3,02/01/2024 13:34
43051,Activo,1,02/01/2024 20:39,2,1,22,1,0,4,3,3,02/01/2024 20:41
43052,Activo,4,02/01/2024 22:39,2,2,40,4,1,4,4,3,02/01/2024 23:02
43053,Activo,1,03/01/2024 00:21,2,2,23,1,0,5,4,3,03/01/2024 00:23
43056,Activo,1,03/01/2024 21:23,1,2,26,1,0,1,4,3,03/01/2024 21:29
43058,Activo,1,04/01/2024 08:42,1,1,46,2,1,4,4,1,04/01/2024 08:45
43061,Activo,1,04/01/2024 16:36,2,2,32,1,0,4,4,3,04/01/2024 16:38
43062,Activo,1,04/01/2024 18:39,2,1,49,4,1,4,4,3,04/01/2024 18:47
43064,Activo,2,04/01/2024 21:10,1,2,31,3,1,2,3,2,04/01/2024 21:16
43065,Activo,1,05/01/2024 02:41,2,1,22,1,0,5,2,3,05/01/2024 02:47
43068,Activo,1,05/01/2024 03:41,2,2,40,1,0,4,4,1,05/01/2024 03:44
43069,Activo,1,05/01/2024 10:37,1,2,40,1,0,3,4,1,05/01/2024 10:40
43071,Activo,1,05/01/2024 11:24,1,2,45,1,1,4,3,3,05/01/2024 11:28
43073,Activo,1,06/01/2024 00:20,2,2,21,2,0,4,3,3,06/01/2024 00:22
43074,Activo,2,06/01/2024 16:36,2,1,33,3,0,4,4,3,06/01/2024 16:44
43075,Activo,2,06/01/2024 21:13,2,2,17,2,0,1,3,3,06/01/2024 21:16
43079,Activo,1,07/01/2024 02:20,1,2,34,1,0,5,3,3,07/01/2024 02:23
43080,Activo,2,07/01/2024 08:37,2,2,25,1,0,4,4,1,07/01/2024 08:40
43084,Activo,1,07/01/2024 23:03,1,2,23,1,0,1,3,2,07/01/2024 23:06
43085,Activo,1,08/01/2024 03:06,2,2,37,4,1,5,2,3,08/01/2024 03:08
43087,Activo,1,08/01/2024 10:38,1,1,42,4,1,4,4,3,08/01/2024 10:41
43091,Activo,1,08/01/2024 11:46,1,2,41,1,1,4,4,2,08/01/2024 11:50
43092,Activo,2,08/01/2024 12:01,1,2,21,1,0,6,3,3,08/01/2024 12:03
43093,Activo,1,08/01/2024 14:18,1,1,28,2,0,5,4,1,08/01/2024 14:28
43095,Activo,1,08/01/2024 15:23,2,1,30,4,1,4,4,3,08/01/2024 15:30
43096,Activo,1,08/01/2024 16:37,1,1,51,3,1,4,4,3,08/01/2024 16:41
43097,Activo,1,08/01/2024 20:08,2,1,33,1,0,4,4,3,08/01/2024 20:11
43106,Activo,5,09/01/2024 06:58,2,2,39,3,1,4,5,3,09/01/2024 07:01
43098,Activo,2,08/01/2024 20:15,1,1,37,1,0,3,5,1,09/01/2024 12:11
43107,Activo,1,09/01/2024 13:57,1,2,33,1,0,3,4,3,09/01/2024 13:58
43108,Activo,5,09/01/2024 14:12,2,2,37,3,1,4,4,2,09/01/2024 14:18
43112,Activo,1,09/01/2024 16:26,2,2,57,2,1,4,4,3,09/01/2024 16:32
43117,Activo,1,09/01/2024 21:26,2,2,29,1,0,4,4,2,09/01/2024 21:31
43120,Activo,1,10/01/2024 00:45,2,2,26,1,0,1,5,3,10/01/2024 00:47
43121,Activo,2,10/01/2024 07:54,2,2,32,2,1,2,4,3,10/01/2024 08:00
